Neighborhood,Latitude,Longitude,Population 
Akersberga,59.4803,18.3108,28033
Alta,59.2555,18.1781,9989
Alvsjo,59.2745,18.0051,1530
Arsta,59.2986,18.0459,16807
Bagarmossen,59.2744,18.1338,10915
Bandhagen,59.2678,18.0516,6510
Bro,59.5148,17.6403,7050
Bromma,59.3398,17.9397,7200
Danderyd,59.4059,18.0256,32677
Ekero,59.2798,17.7902,28861
Enskede,59.2763,18.0385,96916
Enskede Gard,59.2894,18.0676,4246
Enskededalen,59.2807,18.1074,2253
Farsta,59.2583,18.0835,55300
Gustavsberg,59.3144,18.3985,11333
Hagersten,59.3,17.9667,83283
Hallstavik,60.0505,18.5975,4467
Handen,59.1674,18.1363,15092
Haninge,59.1783,18.1564,93370
Hasselby,59.3662,17.86,71042
Huddinge,59.2098,18.0522,113055
Jarfalla,59.4253,17.8239,81034
Jarna,59.0941,17.5586,6377
Johanneshov,59.2964,18.0756,6373
Kista,59.4024,17.9465,48828
Kungsangen,59.4777,17.7509,9382
Lidingo,59.363,18.1468,48021
Marsta,59.6196,17.8555,27034
Nacka,59.3092,18.2705,106169
Norrtalje,59.7596,18.7014,63536
Norsborg,59.2461,17.8231,17000
Nykvarn,59.1782,17.4278,11217
Nynashamn,58.9029,17.9465,28784
Osmo,58.9845,17.8934,3911
Rimbo,59.7437,18.3601,4629
Ronninge,59.1943,17.7488,4302
Rosersberg,59.5737,17.8854,1671
Saltsjo-Boo,59.3307,18.2867,24052
Saltsjobaden,59.2787,18.3111,9491
Sigtuna,59.6191,17.7234,49373
Skarholmen,59.2743,17.9023,33662
Skarpnack,59.2649,18.1425,9018
Skogas,59.2167,18.15,14451
Skondal,59.25,18.1167,7450
Sodertalje,59.1954,17.6257,100004
Sollentuna,59.4541,17.9243,73948
Solna,59.3689,18.0084,83293
Spanga,59.381,17.9,39082
Stockholm,59.3293,18.0686,977619
Stockholm-Arlanda,59.6498,17.9238,0
Stockholm-Globen,59.2936,18.0836,0
Sundbyberg,59.3829,17.9645,52667
Taby,59.4419,18.0703,72632
Tomteboda,59.3499986,18.0166666,0
Tullinge,59.1983,17.8953,16000
Tumba,59.1999,17.831,37852
Tyreso,59.2426,18.2834,48588
Upplands Vasby,59.5196,17.9283,47194
Vallentuna,59.5357,18.078,34127
Vallingby,59.3671,17.8691,82500
Varby,59.2635,17.8876,10727
Varmdo,59.2846,18.5208,45393
Vasterhaninge,59.1216,18.0973,15134
Vaxholm,59.4033,18.3264,11875
