Neighborhood ,Latitude  ,Longitude
Akersberga,59.4803,18.3108
 Alta,59.2555,18.1781
 Alvsjo,59.2745,18.0051
 Arsta,59.2986,18.0459
 Bagarmossen,59.2744,18.1338
 Bandhagen,59.2678,18.0516
 Bro,59.5148,17.6403
 Bromma,59.3398,17.9397
 Danderyd,59.4059,18.0256
 Ekero,59.2798,17.7902
 Enskede,59.2763,18.0385
 Enskede Gard,59.2894,18.0676
 Enskededalen,59.2807,18.1074
 Farsta,59.2583,18.0835
 Gustavsberg,59.3144,18.3985
 Hagersten,59.3,17.9667
 Hallstavik,60.0505,18.5975
 Handen,59.1674,18.1363
 Haninge,59.1783,18.1564
 Hasselby,59.3662,17.86
 Huddinge,59.2098,18.0522
 Jarfalla,59.4253,17.8239
 Jarna,59.0941,17.5586
 Johanneshov,59.2964,18.0756
 Kista,59.4024,17.9465
 Kungsangen,59.4777,17.7509
 Lidingo,59.363,18.1468
 Marsta,59.6196,17.8555
 Nacka,59.3092,18.2705
 Norrtalje,59.7596,18.7014
 Norsborg,59.2461,17.8231
 Nykvarn,59.1782,17.4278
 Nynashamn,58.9029,17.9465
 Osmo,58.9845,17.8934
 Rimbo,59.7437,18.3601
 Ronninge,59.1943,17.7488
 Rosersberg,59.5737,17.8854
 Saltsjo-Boo,59.3307,18.2867
 Saltsjobaden,59.2787,18.3111
 Sigtuna,59.6191,17.7234
 Skarholmen,59.2743,17.9023
 Skarpnack,59.2649,18.1425
 Skogas,59.2167,18.15
 Skondal,59.25,18.1167
 Sodertalje,59.1954,17.6257
 Sollentuna,59.4541,17.9243
 Solna,59.3689,18.0084
 Spanga,59.381,17.9
 Stockholm,59.3293,18.0686
 Stockholm-Arlanda,59.6498,17.9238
 Stockholm-Globen,59.2936,18.0836
 Sundbyberg,59.3829,17.9645
 Taby,59.4419,18.0703
 Tomteboda,59.3499986,18.0166666
 Tullinge,59.1983,17.8953
 Tumba,59.1999,17.831
 Tyreso,59.2426,18.2834
 Upplands Vasby,59.5196,17.9283
 Vallentuna,59.5357,18.078
 Vallingby,59.3671,17.8691
 Varby,59.2635,17.8876
 Varmdo,59.2846,18.5208
 Vasterhaninge,59.1216,18.0973
 Vaxholm,59.4033,18.3264
